No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,118,,,,,,
2,BouncyPlatform,1,1,4,-,-,-,-,-
3,BouncyPlatform,0,4,3,-,-,-,-,-
4,BouncyPlatform,2,4,4,-,-,-,-,-
5,BouncyPlatform,-1,6,4,-,-,-,-,-
6,BouncyPlatform,3,7,3,-,-,-,-,-
7,BouncyPlatform,0,9,4,-,-,-,-,-
8,BouncyPlatform,2,9,3,-,-,-,-,-
9,BouncyPlatform,1,11,3,-,-,-,-,-
10,BouncyPlatform,3,13,4,-,-,-,-,-
11,BouncyPlatform,2,14,4,-,-,-,-,-
12,BouncyPlatform,-2,15,3,-,-,-,-,-
13,BouncyPlatform,1,15,4,-,-,-,-,-
14,BouncyPlatform,0,17,4,-,-,-,-,-
15,BouncyPlatform,3,17,4,-,-,-,-,-
16,BouncyPlatform,-1,18,3,-,-,-,-,-
17,BouncyPlatform,2,20,4,-,-,-,-,-
18,BouncyPlatform,-2,21,4,-,-,-,-,-
19,BouncyPlatform,1,21,3,-,-,-,-,-
20,BouncyPlatform,3,22,3,-,-,-,-,-
21,BouncyPlatform,-1,23,3,-,-,-,-,-
22,BouncyPlatform,-2,26,4,-,-,-,-,-
23,BouncyPlatform,3,26,4,-,-,-,-,-
24,BouncyPlatform,0,28,4,-,-,-,-,-
25,BouncyPlatform,1,29,5,-,-,-,-,-
26,BouncyPlatform,-1,30,4,-,-,-,-,-
27,BouncyPlatform,2,30,3,-,-,-,-,-
28,BouncyPlatform,-2,32,4,-,-,-,-,-
29,BouncyPlatform,0,33,4,-,-,-,-,-
30,BouncyPlatform,3,33,3,-,-,-,-,-
31,BouncyPlatform,-1,35,4,-,-,-,-,-
32,BouncyPlatform,2,35,4,-,-,-,-,-
33,BouncyPlatform,1,38,4,-,-,-,-,-
34,BouncyPlatform,3,39,4,-,-,-,-,-
35,BouncyPlatform,-2,40,4,-,-,-,-,-
36,BouncyPlatform,-1,42,4,-,-,-,-,-
37,BouncyPlatform,2,42,4,-,-,-,-,-
38,BouncyPlatform,3,44,5,-,-,-,-,-
39,BouncyPlatform,-2,45,3,-,-,-,-,-
40,BouncyPlatform,2,49,4,-,-,-,-,-
41,BouncyPlatform,-2,50,5,-,-,-,-,-
42,BouncyPlatform,0,50,4,-,-,-,-,-
43,BouncyPlatform,3,51,4,-,-,-,-,-
44,BouncyPlatform,1,52,3,-,-,-,-,-
