No,Name,x,y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,152,,,,,,
2,BouncyPlatform,1,1,3,-,-,-,-,-
3,BouncyPlatform,0,4,3,-,-,-,-,-
4,BouncyPlatform,2,4,3,-,-,-,-,-
5,BouncyPlatform,-1,7,3,-,-,-,-,-
6,BouncyPlatform,2,9,4,-,-,-,-,-
7,BouncyPlatform,-2,10,4,-,-,-,-,-
8,BouncyPlatform,0,10,5,-,-,-,-,-
9,BouncyPlatform,1,12,4,-,-,-,-,-
10,BouncyPlatform,2,15,4,-,-,-,-,-
11,BouncyPlatform,-2,17,3,-,-,-,-,-
12,BouncyPlatform,-1,20,3,-,-,-,-,-
13,BouncyPlatform,0,22,4,-,-,-,-,-
14,BouncyPlatform,2,22,5,-,-,-,-,-
15,BouncyPlatform,-2,23,3,-,-,-,-,-
16,BouncyPlatform,-1,26,4,-,-,-,-,-
17,BouncyPlatform,3,27,3,-,-,-,-,-
18,BouncyPlatform,-2,30,3,-,-,-,-,-
19,BouncyPlatform,2,30,5,-,-,-,-,-
20,BouncyPlatform,-1,32,3,-,-,-,-,-
21,BouncyPlatform,0,35,4,-,-,-,-,-
22,BouncyPlatform,3,35,5,-,-,-,-,-
23,BouncyPlatform,-1,37,3,-,-,-,-,-
24,BouncyPlatform,-2,40,4,-,-,-,-,-
25,BouncyPlatform,2,40,4,-,-,-,-,-
26,BouncyPlatform,-1,44,4,-,-,-,-,-
27,BouncyPlatform,1,44,5,-,-,-,-,-
28,BouncyPlatform,-2,48,4,-,-,-,-,-
29,BouncyPlatform,2,49,3,-,-,-,-,-
30,BouncyPlatform,-1,52,4,-,-,-,-,-
31,BouncyPlatform,-2,55,3,-,-,-,-,-
32,BouncyPlatform,2,56,5,-,-,-,-,-
33,BouncyPlatform,1,61,5,-,-,-,-,-
34,BouncyPlatform,2,66,4,-,-,-,-,-
35,BouncyPlatform,3,68,3,-,-,-,-,-
36,BouncyPlatform,-1,70,4,-,-,-,-,-
37,BouncyPlatform,-1,74,4,-,-,-,-,-
38,BouncyPlatform,0,76,5,-,-,-,-,-
39,BouncyPlatform,-2,78,3,-,-,-,-,-
40,BouncyPlatform,2,79,4,-,-,-,-,-
41,BouncyPlatform,-1,81,5,-,-,-,-,-
42,BouncyPlatform,1,83,5,-,-,-,-,-
43,BouncyPlatform,0,85,3,-,-,-,-,-
44,BouncyPlatform,2,87,3,-,-,-,-,-
45,BouncyPlatform,-2,90,5,-,-,-,-,-
46,BouncyPlatform,0,90,4,-,-,-,-,-
47,BouncyPlatform,3,90,4,-,-,-,-,-
48,BouncyPlatform,3,95,5,-,-,-,-,-
49,BouncyPlatform,0,96,4,-,-,-,-,-
50,BouncyPlatform,-1,99,5,-,-,-,-,-
51,BouncyPlatform,2,99,4,-,-,-,-,-
52,BouncyPlatform,-2,103,3,-,-,-,-,-
53,BouncyPlatform,0,103,4,-,-,-,-,-
54,BouncyPlatform,2,105,4,-,-,-,-,-
55,BouncyPlatform,1,108,4,-,-,-,-,-
56,BouncyPlatform,3,108,4,-,-,-,-,-
57,BouncyPlatform,-1,111,5,-,-,-,-,-
58,BouncyPlatform,2,112,5,-,-,-,-,-
59,BouncyPlatform,-2,115,3,-,-,-,-,-
60,BouncyPlatform,-1,118,5,-,-,-,-,-
61,BouncyPlatform,2,119,5,-,-,-,-,-
62,BouncyPlatform,-2,121,4,-,-,-,-,-
63,BouncyPlatform,3,122,4,-,-,-,-,-
64,BouncyPlatform,1,123,3,-,-,-,-,-
65,BouncyPlatform,0,126,4,-,-,-,-,-
66,BouncyPlatform,2,126,3,-,-,-,-,-
67,BouncyPlatform,3,128,4,-,-,-,-,-
68,BouncyPlatform,-1,129,4,-,-,-,-,-
