No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,98,,,,,,
2,BouncyPlatform,1,95,3,-,-,-,-,-
3,BouncyPlatform,1,92,3,-,-,-,-,-
4,BouncyPlatform,-2,90,4,-,-,-,-,-
5,BouncyPlatform,0,90,4,-,-,-,-,-
6,BouncyPlatform,2,89,4,-,-,-,-,-
7,BouncyPlatform,-1,88,3,-,-,-,-,-
8,BouncyPlatform,3,87,4,-,-,-,-,-
9,BouncyPlatform,1,86,3,-,-,-,-,-
10,BouncyPlatform,-2,85,4,-,-,-,-,-
11,BouncyPlatform,0,85,3,-,-,-,-,-
12,BouncyPlatform,2,83,5,-,-,-,-,-
13,BouncyPlatform,-1,82,4,-,-,-,-,-
14,BouncyPlatform,3,81,4,-,-,-,-,-
15,BouncyPlatform,-2,79,4,-,-,-,-,-
16,BouncyPlatform,0,79,4,-,-,-,-,-
17,BouncyPlatform,2,77,3,-,-,-,-,-
18,BouncyPlatform,-1,76,5,-,-,-,-,-
19,BouncyPlatform,2,74,4,-,-,-,-,-
20,BouncyPlatform,1,73,4,-,-,-,-,-
21,BouncyPlatform,-2,72,4,-,-,-,-,-
22,BouncyPlatform,3,71,4,-,-,-,-,-
23,BouncyPlatform,0,70,4,-,-,-,-,-
24,BouncyPlatform,2,69,4,-,-,-,-,-
25,BouncyPlatform,-1,68,4,-,-,-,-,-
26,BouncyPlatform,1,67,3,-,-,-,-,-
27,BouncyPlatform,3,67,4,-,-,-,-,-
28,BouncyPlatform,-2,66,4,-,-,-,-,-
29,BouncyPlatform,0,66,3,-,-,-,-,-
30,BouncyPlatform,-1,65,3,-,-,-,-,-
31,BouncyPlatform,3,64,4,-,-,-,-,-
32,BouncyPlatform,3,62,4,-,-,-,-,-
33,BouncyPlatform,-1,60,4,-,-,-,-,-
34,BouncyPlatform,2,60,4,-,-,-,-,-
35,BouncyPlatform,1,57,4,-,-,-,-,-
36,BouncyPlatform,0,56,4,-,-,-,-,-
37,BouncyPlatform,3,55,4,-,-,-,-,-
38,BouncyPlatform,-1,52,5,-,-,-,-,-
39,BouncyPlatform,2,52,4,-,-,-,-,-
40,BouncyPlatform,1,50,4,-,-,-,-,-
41,BouncyPlatform,-2,49,4,-,-,-,-,-
42,BouncyPlatform,0,49,4,-,-,-,-,-
43,BouncyPlatform,-1,47,4,-,-,-,-,-
44,BouncyPlatform,2,46,4,-,-,-,-,-
45,BouncyPlatform,-2,44,4,-,-,-,-,-
46,BouncyPlatform,1,43,4,-,-,-,-,-
47,BouncyPlatform,3,42,4,-,-,-,-,-
48,BouncyPlatform,-1,41,3,-,-,-,-,-
49,BouncyPlatform,0,39,4,-,-,-,-,-
50,BouncyPlatform,2,39,4,-,-,-,-,-
51,BouncyPlatform,-2,38,3,-,-,-,-,-
52,BouncyPlatform,3,38,4,-,-,-,-,-
53,BouncyPlatform,-1,36,4,-,-,-,-,-
54,BouncyPlatform,1,36,3,-,-,-,-,-
55,BouncyPlatform,2,34,3,-,-,-,-,-
56,BouncyPlatform,0,32,4,-,-,-,-,-
57,BouncyPlatform,3,32,4,-,-,-,-,-
58,BouncyPlatform,-2,31,4,-,-,-,-,-
59,BouncyPlatform,1,30,4,-,-,-,-,-
60,BouncyPlatform,-1,28,4,-,-,-,-,-
61,BouncyPlatform,2,27,5,-,-,-,-,-
62,BouncyPlatform,-2,24,4,-,-,-,-,-
63,BouncyPlatform,0,24,4,-,-,-,-,-
64,BouncyPlatform,3,23,4,-,-,-,-,-
65,BouncyPlatform,1,22,3,-,-,-,-,-
66,BouncyPlatform,-1,21,3,-,-,-,-,-
67,BouncyPlatform,2,21,4,-,-,-,-,-
68,BouncyPlatform,-2,18,3,-,-,-,-,-
69,BouncyPlatform,3,18,3,-,-,-,-,-
70,BouncyPlatform,1,17,4,-,-,-,-,-
71,BouncyPlatform,-1,16,3,-,-,-,-,-
72,BouncyPlatform,-3,15,3,-,-,-,-,-
73,BouncyPlatform,0,14,4,-,-,-,-,-
74,BouncyPlatform,2,14,3,-,-,-,-,-
75,BouncyPlatform,-1,12,3,-,-,-,-,-
76,BouncyPlatform,3,12,4,-,-,-,-,-
77,BouncyPlatform,-2,10,3,-,-,-,-,-
78,BouncyPlatform,1,10,3,-,-,-,-,-
79,BouncyPlatform,-1,8,4,-,-,-,-,-
80,BouncyPlatform,2,8,3,-,-,-,-,-
81,BouncyPlatform,0,5,3,-,-,-,-,-
82,BouncyPlatform,3,5,4,-,-,-,-,-
83,BouncyPlatform,2,3,3,-,-,-,-,-
84,BouncyPlatform,1,1,3,-,-,-,-,-
85,CrackPlatform,1,79,,,,,,
86,CrackPlatform,2,71,,,,,,
87,CrackPlatform,1,62,,,,,,
88,CrackPlatform,0,52,,,,,,
89,CrackPlatform,3,50,,,,,,
90,CrackPlatform,0,43,,,,,,
91,CrackPlatform,1,23,,,,,,
92,CrackPlatform,-2,16,,,,,,
93,CrackPlatform,0,10,,,,,,
94,RandomSpawner,-2,74,PinWheel,-,SpiderWeb,-,0,
