No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,98,,,,,,
2,BouncyPlatform,1,1,3,-,-,-,-,-
3,BouncyPlatform,0,3,4,-,-,-,-,-
4,BouncyPlatform,2,4,4,-,-,-,-,-
5,BouncyPlatform,3,5,3,-,-,-,-,-
6,BouncyPlatform,1,6,3,-,-,-,-,-
7,BouncyPlatform,0,8,3,-,-,-,-,-
8,BouncyPlatform,-1,10,3,-,-,-,-,-
9,BouncyPlatform,2,10,3,-,-,-,-,-
10,BouncyPlatform,-2,12,3,-,-,-,-,-
11,BouncyPlatform,1,12,3,-,-,-,-,-
12,BouncyPlatform,2,13,3,-,-,-,-,-
13,BouncyPlatform,0,14,3,-,-,-,-,-
14,BouncyPlatform,3,15,4,-,-,-,-,-
15,BouncyPlatform,-1,16,4,-,-,-,-,-
16,BouncyPlatform,2,18,3,-,-,-,-,-
17,BouncyPlatform,0,19,4,-,-,-,-,-
18,BouncyPlatform,-1,21,3,-,-,-,-,-
19,BouncyPlatform,1,21,3,-,-,-,-,-
20,BouncyPlatform,3,21,3,-,-,-,-,-
21,BouncyPlatform,-2,23,3,-,-,-,-,-
22,BouncyPlatform,2,23,4,-,-,-,-,-
23,BouncyPlatform,0,24,3,-,-,-,-,-
24,BouncyPlatform,1,26,4,-,-,-,-,-
25,BouncyPlatform,-1,27,4,-,-,-,-,-
26,BouncyPlatform,3,27,3,-,-,-,-,-
27,BouncyPlatform,0,30,4,-,-,-,-,-
28,BouncyPlatform,2,30,4,-,-,-,-,-
29,BouncyPlatform,-2,31,4,-,-,-,-,-
30,BouncyPlatform,1,32,4,-,-,-,-,-
31,BouncyPlatform,-1,33,3,-,-,-,-,-
32,BouncyPlatform,3,33,3,-,-,-,-,-
33,BouncyPlatform,0,35,4,-,-,-,-,-
34,BouncyPlatform,-1,38,3,-,-,-,-,-
35,BouncyPlatform,0,39,3,-,-,-,-,-
36,BouncyPlatform,1,40,3,-,-,-,-,-
37,BouncyPlatform,-2,42,4,-,-,-,-,-
38,BouncyPlatform,2,42,4,-,-,-,-,-
39,BouncyPlatform,0,43,3,-,-,-,-,-
40,BouncyPlatform,-1,44,4,-,-,-,-,-
41,BouncyPlatform,3,44,4,-,-,-,-,-
42,BouncyPlatform,1,46,3,-,-,-,-,-
43,BouncyPlatform,-2,47,4,-,-,-,-,-
44,BouncyPlatform,2,47,4,-,-,-,-,-
45,BouncyPlatform,0,49,4,-,-,-,-,-
46,BouncyPlatform,1,51,4,-,-,-,-,-
47,BouncyPlatform,1,51,4,-,-,-,-,-
48,BouncyPlatform,-2,53,3,-,-,-,-,-
49,BouncyPlatform,0,54,3,-,-,-,-,-
50,BouncyPlatform,2,54,4,-,-,-,-,-
51,BouncyPlatform,-1,55,4,-,-,-,-,-
52,BouncyPlatform,-2,56,4,-,-,-,-,-
53,BouncyPlatform,3,56,4,-,-,-,-,-
54,BouncyPlatform,1,57,4,-,-,-,-,-
55,BouncyPlatform,0,58,3,-,-,-,-,-
56,BouncyPlatform,-1,60,3,-,-,-,-,-
57,BouncyPlatform,2,60,3,-,-,-,-,-
58,BouncyPlatform,-2,61,3,-,-,-,-,-
59,BouncyPlatform,1,62,3,-,-,-,-,-
60,BouncyPlatform,3,62,3,-,-,-,-,-
61,BouncyPlatform,0,63,3,-,-,-,-,-
62,BouncyPlatform,-1,64,4,-,-,-,-,-
63,BouncyPlatform,1,64,4,-,-,-,-,-
64,BouncyPlatform,0,66,4,-,-,-,-,-
65,BouncyPlatform,-2,68,3,-,-,-,-,-
66,BouncyPlatform,2,68,4,-,-,-,-,-
67,BouncyPlatform,3,70,4,-,-,-,-,-
68,BouncyPlatform,-1,71,3,-,-,-,-,-
69,BouncyPlatform,0,73,4,-,-,-,-,-
70,BouncyPlatform,2,73,3,-,-,-,-,-
71,BouncyPlatform,-1,75,3,-,-,-,-,-
72,BouncyPlatform,1,76,4,-,-,-,-,-
73,BouncyPlatform,-2,77,4,-,-,-,-,-
74,BouncyPlatform,2,79,3,-,-,-,-,-
75,BouncyPlatform,-1,80,3,-,-,-,-,-
