No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,98,,,,,,
2,BouncyPlatform,2,96,4,-,-,-,-,-
3,BouncyPlatform,0,93,4,-,-,-,-,-
4,BouncyPlatform,1,92,3,-,-,-,-,-
5,BouncyPlatform,3,92,4,-,-,-,-,-
6,BouncyPlatform,-2,91,3,-,-,-,-,-
7,BouncyPlatform,2,90,4,-,-,-,-,-
8,BouncyPlatform,-1,89,4,-,-,-,-,-
9,BouncyPlatform,3,88,4,-,-,-,-,-
10,BouncyPlatform,-2,87,3,-,-,-,-,-
11,BouncyPlatform,1,87,4,-,-,-,-,-
12,BouncyPlatform,-1,84,3,-,-,-,-,-
13,BouncyPlatform,2,84,4,-,-,-,-,-
14,BouncyPlatform,0,83,4,-,-,-,-,-
15,BouncyPlatform,-2,80,4,-,-,-,-,-
16,BouncyPlatform,1,80,5,-,-,-,-,-
17,BouncyPlatform,3,79,5,-,-,-,-,-
18,BouncyPlatform,0,75,4,-,-,-,-,-
19,BouncyPlatform,2,75,4,-,-,-,-,-
20,BouncyPlatform,-1,74,4,-,-,-,-,-
21,BouncyPlatform,-2,72,4,-,-,-,-,-
22,BouncyPlatform,3,72,4,-,-,-,-,-
23,BouncyPlatform,-1,70,3,-,-,-,-,-
24,BouncyPlatform,2,70,3,-,-,-,-,-
25,BouncyPlatform,0,68,4,-,-,-,-,-
26,BouncyPlatform,-2,67,3,-,-,-,-,-
27,BouncyPlatform,1,67,4,-,-,-,-,-
28,BouncyPlatform,-1,64,4,-,-,-,-,-
29,BouncyPlatform,2,64,3,-,-,-,-,-
30,BouncyPlatform,-2,61,3,-,-,-,-,-
31,BouncyPlatform,3,61,4,-,-,-,-,-
32,BouncyPlatform,1,60,4,-,-,-,-,-
33,BouncyPlatform,-1,59,4,-,-,-,-,-
34,BouncyPlatform,-2,57,3,-,-,-,-,-
35,BouncyPlatform,2,57,4,-,-,-,-,-
36,BouncyPlatform,1,55,4,-,-,-,-,-
37,BouncyPlatform,-1,54,4,-,-,-,-,-
38,BouncyPlatform,3,53,3,-,-,-,-,-
39,BouncyPlatform,0,51,4,-,-,-,-,-
40,BouncyPlatform,2,50,4,-,-,-,-,-
41,BouncyPlatform,1,48,4,-,-,-,-,-
42,BouncyPlatform,2,45,3,-,-,-,-,-
43,BouncyPlatform,0,44,4,-,-,-,-,-
44,BouncyPlatform,-1,42,4,-,-,-,-,-
45,BouncyPlatform,1,42,3,-,-,-,-,-
46,BouncyPlatform,3,41,4,-,-,-,-,-
47,BouncyPlatform,0,40,4,-,-,-,-,-
48,BouncyPlatform,-2,39,4,-,-,-,-,-
49,BouncyPlatform,2,39,3,-,-,-,-,-
50,BouncyPlatform,-1,36,4,-,-,-,-,-
51,BouncyPlatform,3,35,4,-,-,-,-,-
52,BouncyPlatform,0,34,3,-,-,-,-,-
53,BouncyPlatform,-2,33,4,-,-,-,-,-
54,BouncyPlatform,2,32,5,-,-,-,-,-
55,BouncyPlatform,-1,31,4,-,-,-,-,-
56,BouncyPlatform,1,30,4,-,-,-,-,-
57,BouncyPlatform,0,28,3,-,-,-,-,-
58,BouncyPlatform,3,28,4,-,-,-,-,-
59,BouncyPlatform,2,26,3,-,-,-,-,-
60,BouncyPlatform,-1,24,4,-,-,-,-,-
61,BouncyPlatform,1,24,3,-,-,-,-,-
62,BouncyPlatform,2,22,4,-,-,-,-,-
63,BouncyPlatform,0,21,3,-,-,-,-,-
64,BouncyPlatform,-2,20,4,-,-,-,-,-
65,BouncyPlatform,3,19,3,-,-,-,-,-
66,BouncyPlatform,1,18,4,-,-,-,-,-
67,BouncyPlatform,-1,17,3,-,-,-,-,-
68,BouncyPlatform,0,15,4,-,-,-,-,-
69,BouncyPlatform,2,15,4,-,-,-,-,-
70,BouncyPlatform,3,13,4,-,-,-,-,-
71,BouncyPlatform,-1,12,3,-,-,-,-,-
72,BouncyPlatform,1,11,4,-,-,-,-,-
73,BouncyPlatform,-2,10,4,-,-,-,-,-
74,BouncyPlatform,2,9,4,-,-,-,-,-
75,BouncyPlatform,0,8,3,-,-,-,-,-
76,BouncyPlatform,-1,6,3,-,-,-,-,-
77,BouncyPlatform,1,6,3,-,-,-,-,-
78,BouncyPlatform,3,6,3,-,-,-,-,-
79,BouncyPlatform,-2,5,3,-,-,-,-,-
80,BouncyPlatform,2,4,4,-,-,-,-,-
81,BouncyPlatform,-1,2,3,-,-,-,-,-
82,BouncyPlatform,1,1,3,-,-,-,-,-
83,CrackPlatform,0,89,,,,,,
84,CrackPlatform,3,67,,,,,,
85,CrackPlatform,0,63,,,,,,
86,CrackPlatform,0,41,,,,,,
87,CrackPlatform,1,36,,,,,,
88,CrackPlatform,-2,27,,,,,,
89,CrackPlatform,-2,25,,,,,,
90,RandomSpawner,1,47,PinWheel,-,SpiderWeb,-,0,
91,RandomSpawner,2,47,PinWheel,-,SpiderWeb,-,0,
92,RandomSpawner,2,46,PinWheel,-,SpiderWeb,-,0,
93,RandomSpawner,0,29,PinWheel,-,SpiderWeb,-,1,
94,RandomSpawner,3,29,PinWheel,-,SpiderWeb,-,1,
95,RandomSpawner,2,27,PinWheel,-,SpiderWeb,-,1,
96,RandomSpawner,3,8,PinWheel,-,SpiderWeb,-,2,
97,RandomSpawner,1,7,PinWheel,-,SpiderWeb,-,2,
