No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
0,1,290,1,1,4
1,-5,250,1,1,5
2,-5,16,1,1,4
3,3,294,1,1,4
4,5.000001,110,1,1,3
5,3,192,1,1,4
6,5.000001,256,1,1,4
7,-3,172,1,1,3
8,1,206,1,1,3
9,5.000001,200,1,1,5
10,-5,234,1,1,4
11,3,162,1,1,3
12,-5,136,1,1,4
13,-5,68,1,1,3
14,-3,274,1,1,4
15,-1,250,1,1,5
16,-5,280,1,1,4
17,1,172,1,1,4
18,-1,164,1,1,4
19,-5,268,1,1,4
20,1,124,1,1,4
21,1,108,1,1,5
22,5.000001,284,1,1,4
23,-1,152,1,1,3
24,3,48,1,1,3
25,-3,242,1,1,4
26,-5,206,1,1,4
27,3,104,1,1,3
28,-1,182,1,1,4
29,1,62,1,1,3
30,1,272,1,1,4
31,3,86,1,1,4
32,-1,114,1,1,4
33,-3,158,1,1,4
34,-5,150,1,1,4
35,-3,108,1,1,3
36,-1,132,1,1,3
37,3,32,1,1,3
38,3,8,1,1,3
39,-3,118,1,1,4
40,-3,52,1,1,3
41,5.000001,26,1,1,3
42,1,22,1,1,4
43,3,210,1,1,3
44,5.000001,266,1,1,3
45,1,54,1,1,3
46,-3,22,1,1,5
47,-5,194,1,1,3
48,1,156,1,1,4
49,1,80,1,1,3
50,-1,220,1,1,5
51,-5,224,1,1,3
52,-5,54,1,1,4
53,3,118,1,1,4
54,5.000001,226,1,1,4
55,-1,32,1,1,3
56,3,154,1,1,4
57,-1,72,1,1,4
58,3,276,1,1,4
59,1,2,1,1,4
60,-1,236,1,1,4
61,-5,84,1,1,3
62,5.000001,168,1,1,3
63,-5,162,1,1,4
64,3,68,1,1,5
65,-1,48,1,1,4
66,-1,8,1,1,4
67,3,20,1,1,3
68,-3,64,1,1,4
69,-3,286,1,1,5
70,3,116,1,1,4
71,-1,194,1,1,5
72,1,260,1,1,4
73,5.000001,78,1,1,4
74,5.000001,42,1,1,3
75,1,148,1,1,3
76,-3,144,1,1,4
77,-3,214,1,1,3
78,-3,184,1,1,4
79,-3,228,1,1,4
80,-1,100,1,1,4
81,-1,266,1,1,4
82,1,242,1,1,5
83,-3,90,1,1,5
84,3,246,1,1,4
85,-3,78,1,1,3
86,-5,100,1,1,3
87,-5,128,1,1,5
88,3,234,1,1,4
89,-3,200,1,1,3
90,5.000001,14,1,1,3
91,1,184,1,1,4
92,1,94,1,1,4
93,-1,178,1,1,4
94,-3,38,1,1,4
