No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,98,,,,,,
2,BouncyPlatform,0,96,3,-,-,-,-,-
3,BouncyPlatform,1,94,4,-,-,-,-,-
4,BouncyPlatform,-1,92,4,-,-,-,-,-
5,BouncyPlatform,2,90,4,-,-,-,-,-
6,BouncyPlatform,-2,87,4,-,-,-,-,-
7,BouncyPlatform,0,87,3,-,-,-,-,-
8,BouncyPlatform,-1,85,4,-,-,-,-,-
9,BouncyPlatform,1,85,4,-,-,-,-,-
10,BouncyPlatform,2,83,3,-,-,-,-,-
11,BouncyPlatform,-2,82,4,-,-,-,-,-
12,BouncyPlatform,3,80,4,-,-,-,-,-
13,BouncyPlatform,1,79,3,-,-,-,-,-
14,BouncyPlatform,-1,78,4,-,-,-,-,-
15,BouncyPlatform,2,77,4,-,-,-,-,-
16,BouncyPlatform,-2,74,4,-,-,-,-,-
17,BouncyPlatform,1,74,3,-,-,-,-,-
18,BouncyPlatform,-1,72,4,-,-,-,-,-
19,BouncyPlatform,3,72,4,-,-,-,-,-
20,BouncyPlatform,-2,70,3,-,-,-,-,-
21,BouncyPlatform,2,69,4,-,-,-,-,-
22,BouncyPlatform,-1,68,3,-,-,-,-,-
23,BouncyPlatform,1,66,3,-,-,-,-,-
24,BouncyPlatform,3,66,4,-,-,-,-,-
25,BouncyPlatform,0,65,4,-,-,-,-,-
26,BouncyPlatform,-1,63,3,-,-,-,-,-
27,BouncyPlatform,2,62,3,-,-,-,-,-
28,BouncyPlatform,-2,60,4,-,-,-,-,-
29,BouncyPlatform,1,59,3,-,-,-,-,-
30,BouncyPlatform,3,59,4,-,-,-,-,-
31,BouncyPlatform,-1,58,3,-,-,-,-,-
32,BouncyPlatform,2,58,3,-,-,-,-,-
33,BouncyPlatform,3,56,3,-,-,-,-,-
34,BouncyPlatform,0,54,4,-,-,-,-,-
35,BouncyPlatform,2,54,3,-,-,-,-,-
36,BouncyPlatform,1,52,4,-,-,-,-,-
37,BouncyPlatform,-1,51,3,-,-,-,-,-
38,BouncyPlatform,3,51,4,-,-,-,-,-
39,BouncyPlatform,0,50,3,-,-,-,-,-
40,BouncyPlatform,2,49,4,-,-,-,-,-
41,BouncyPlatform,-2,48,4,-,-,-,-,-
42,BouncyPlatform,1,47,3,-,-,-,-,-
43,BouncyPlatform,-1,45,3,-,-,-,-,-
44,BouncyPlatform,3,44,4,-,-,-,-,-
45,BouncyPlatform,0,43,4,-,-,-,-,-
46,BouncyPlatform,2,42,4,-,-,-,-,-
47,BouncyPlatform,-1,41,3,-,-,-,-,-
48,BouncyPlatform,-2,39,4,-,-,-,-,-
49,BouncyPlatform,-2,39,4,-,-,-,-,-
50,BouncyPlatform,0,36,4,-,-,-,-,-
51,BouncyPlatform,-1,35,4,-,-,-,-,-
52,BouncyPlatform,-2,33,4,-,-,-,-,-
53,BouncyPlatform,2,32,4,-,-,-,-,-
54,BouncyPlatform,-1,30,4,-,-,-,-,-
55,BouncyPlatform,1,30,3,-,-,-,-,-
56,BouncyPlatform,-2,28,4,-,-,-,-,-
57,BouncyPlatform,0,27,3,-,-,-,-,-
58,BouncyPlatform,2,27,4,-,-,-,-,-
59,BouncyPlatform,-1,25,4,-,-,-,-,-
60,BouncyPlatform,3,24,3,-,-,-,-,-
61,BouncyPlatform,-2,23,3,-,-,-,-,-
62,BouncyPlatform,0,22,4,-,-,-,-,-
63,BouncyPlatform,2,20,4,-,-,-,-,-
64,BouncyPlatform,-1,18,4,-,-,-,-,-
65,BouncyPlatform,1,18,4,-,-,-,-,-
66,BouncyPlatform,0,16,4,-,-,-,-,-
67,BouncyPlatform,3,16,4,-,-,-,-,-
68,BouncyPlatform,-1,12,3,-,-,-,-,-
69,BouncyPlatform,1,12,3,-,-,-,-,-
70,BouncyPlatform,2,11,3,-,-,-,-,-
71,BouncyPlatform,0,10,4,-,-,-,-,-
72,BouncyPlatform,-2,9,3,-,-,-,-,-
73,BouncyPlatform,3,8,4,-,-,-,-,-
74,BouncyPlatform,-1,7,3,-,-,-,-,-
75,BouncyPlatform,1,7,3,-,-,-,-,-
76,BouncyPlatform,2,5,3,-,-,-,-,-
77,BouncyPlatform,0,4,3,-,-,-,-,-
78,BouncyPlatform,1,1,3,-,-,-,-,-
79,CrackPlatform,0,81,,,,,,
80,CrackPlatform,-2,67,,,,,,
81,CrackPlatform,-2,53,,,,,,
82,CrackPlatform,1,38,,,,,,
83,CrackPlatform,1,25,,,,,,
84,CrackPlatform,-2,14,,,,,,
85,CrackPlatform,2,9,,,,,,
86,RandomSpawner,3,81,PinWheel,-,SpiderWeb,-,0,
87,RandomSpawner,1,80,PinWheel,-,SpiderWeb,-,0,
88,RandomSpawner,3,76,PinWheel,-,SpiderWeb,-,0,
89,RandomSpawner,1,63,PinWheel,-,SpiderWeb,-,1,
90,RandomSpawner,-1,55,PinWheel,-,SpiderWeb,-,1,
91,RandomSpawner,2,55,PinWheel,-,SpiderWeb,-,1,
92,RandomSpawner,0,32,PinWheel,-,SpiderWeb,-,2,
93,RandomSpawner,1,32,PinWheel,-,SpiderWeb,-,2,
94,RandomSpawner,1,31,PinWheel,-,SpiderWeb,-,2,
95,RandomSpawner,1,23,PinWheel,-,SpiderWeb,-,3,
96,RandomSpawner,-1,16,PinWheel,-,SpiderWeb,-,3,
97,RandomSpawner,-2,11,PinWheel,-,SpiderWeb,-,3,
98,Rocket,-1,70,,,,,,
99,Magnet,3,45,,,,,,
100,Magnet,-1,13,,,,,,
101,ItemBox,2,78,,,,,,
102,ItemBox,1,57,,,,,,
103,ItemBox,0,30,,,,,,
104,Bee,3,85,,,,,,
105,Bee,3,74,,,,,,
106,Bee,-2,49,,,,,,
107,Bee,-2,24,,,,,,
