No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,SpawnPoint,-1,3,,,,,,
2,GoalInPlatform,0,98,,,,,,
3,BouncyPlatform,2,96,4,-,-,-,-,-
4,BouncyPlatform,0,93,4,-,-,-,-,-
5,BouncyPlatform,1,92,3,-,-,-,-,-
6,BouncyPlatform,3,92,4,-,-,-,-,-
7,BouncyPlatform,-2,91,3,-,-,-,-,-
8,BouncyPlatform,2,90,4,-,-,-,-,-
9,BouncyPlatform,-1,89,4,-,-,-,-,-
10,BouncyPlatform,3,88,4,-,-,-,-,-
11,BouncyPlatform,-2,87,3,-,-,-,-,-
12,BouncyPlatform,1,87,4,-,-,-,-,-
13,BouncyPlatform,-1,84,3,-,-,-,-,-
14,BouncyPlatform,2,84,4,-,-,-,-,-
15,BouncyPlatform,0,83,4,-,-,-,-,-
16,BouncyPlatform,-2,80,4,-,-,-,-,-
17,BouncyPlatform,1,80,5,-,-,-,-,-
18,BouncyPlatform,3,79,5,-,-,-,-,-
19,BouncyPlatform,0,75,4,-,-,-,-,-
20,BouncyPlatform,2,75,4,-,-,-,-,-
21,BouncyPlatform,-1,74,4,-,-,-,-,-
22,BouncyPlatform,-2,72,4,-,-,-,-,-
23,BouncyPlatform,3,72,4,-,-,-,-,-
24,BouncyPlatform,-1,70,3,-,-,-,-,-
25,BouncyPlatform,2,70,3,-,-,-,-,-
26,BouncyPlatform,0,68,4,-,-,-,-,-
27,BouncyPlatform,-2,67,3,-,-,-,-,-
28,BouncyPlatform,1,67,4,-,-,-,-,-
29,BouncyPlatform,-1,64,4,-,-,-,-,-
30,BouncyPlatform,2,64,3,-,-,-,-,-
31,BouncyPlatform,-2,61,3,-,-,-,-,-
32,BouncyPlatform,3,61,4,-,-,-,-,-
33,BouncyPlatform,1,60,4,-,-,-,-,-
34,BouncyPlatform,-1,59,4,-,-,-,-,-
35,BouncyPlatform,-2,57,3,-,-,-,-,-
36,BouncyPlatform,2,57,4,-,-,-,-,-
37,BouncyPlatform,1,55,4,-,-,-,-,-
38,BouncyPlatform,-1,54,4,-,-,-,-,-
39,BouncyPlatform,3,53,3,-,-,-,-,-
40,BouncyPlatform,0,51,4,-,-,-,-,-
41,BouncyPlatform,2,50,4,-,-,-,-,-
42,BouncyPlatform,1,48,4,-,-,-,-,-
43,BouncyPlatform,2,45,3,-,-,-,-,-
44,BouncyPlatform,0,44,4,-,-,-,-,-
45,BouncyPlatform,-1,42,4,-,-,-,-,-
46,BouncyPlatform,1,42,3,-,-,-,-,-
47,BouncyPlatform,3,41,4,-,-,-,-,-
48,BouncyPlatform,0,40,4,-,-,-,-,-
49,BouncyPlatform,-2,39,4,-,-,-,-,-
50,BouncyPlatform,2,39,3,-,-,-,-,-
51,BouncyPlatform,-1,36,4,-,-,-,-,-
52,BouncyPlatform,3,35,4,-,-,-,-,-
53,BouncyPlatform,0,34,3,-,-,-,-,-
54,BouncyPlatform,-2,33,4,-,-,-,-,-
55,BouncyPlatform,2,32,5,-,-,-,-,-
56,BouncyPlatform,-1,31,4,-,-,-,-,-
57,BouncyPlatform,1,30,4,-,-,-,-,-
58,BouncyPlatform,0,28,3,-,-,-,-,-
59,BouncyPlatform,3,28,4,-,-,-,-,-
60,BouncyPlatform,2,26,3,-,-,-,-,-
61,BouncyPlatform,-1,24,4,-,-,-,-,-
62,BouncyPlatform,1,24,3,-,-,-,-,-
63,BouncyPlatform,2,22,4,-,-,-,-,-
64,BouncyPlatform,0,21,3,-,-,-,-,-
65,BouncyPlatform,-2,20,4,-,-,-,-,-
66,BouncyPlatform,3,19,3,-,-,-,-,-
67,BouncyPlatform,1,18,4,-,-,-,-,-
68,BouncyPlatform,-1,17,3,-,-,-,-,-
69,BouncyPlatform,0,15,4,-,-,-,-,-
70,BouncyPlatform,2,15,4,-,-,-,-,-
71,BouncyPlatform,3,13,4,-,-,-,-,-
72,BouncyPlatform,-1,12,3,-,-,-,-,-
73,BouncyPlatform,1,11,4,-,-,-,-,-
74,BouncyPlatform,-2,10,4,-,-,-,-,-
75,BouncyPlatform,2,9,4,-,-,-,-,-
76,BouncyPlatform,0,8,3,-,-,-,-,-
77,BouncyPlatform,-1,6,3,-,-,-,-,-
78,BouncyPlatform,1,6,3,-,-,-,-,-
79,BouncyPlatform,3,6,3,-,-,-,-,-
80,BouncyPlatform,-2,5,3,-,-,-,-,-
81,BouncyPlatform,2,4,4,-,-,-,-,-
82,BouncyPlatform,-1,2,3,-,-,-,-,-
83,BouncyPlatform,1,1,3,-,-,-,-,-
84,CrackPlatform,0,89,,,,,,
85,CrackPlatform,3,67,,,,,,
86,CrackPlatform,0,63,,,,,,
87,CrackPlatform,0,41,,,,,,
88,CrackPlatform,1,36,,,,,,
89,CrackPlatform,-2,27,,,,,,
90,CrackPlatform,-2,25,,,,,,
91,RandomSpawner,3,80,PinWheel,-,SpiderWeb,-,0,
92,RandomSpawner,2,76,PinWheel,-,SpiderWeb,-,0,
93,RandomSpawner,3,73,PinWheel,-,SpiderWeb,-,0,
94,RandomSpawner,1,47,PinWheel,-,SpiderWeb,-,1,
95,RandomSpawner,2,47,PinWheel,-,SpiderWeb,-,1,
