No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,SpawnPoint,0,5,,,,,,
2,GoalInPlatform,0,148,,,,,,
3,BouncyPlatform,1,1,4,-,-,-,-,-
4,BouncyPlatform,0,4,3,-,-,-,-,-
5,BouncyPlatform,2,4,3,-,-,-,-,-
6,BouncyPlatform,3,8,5,-,-,-,-,-
7,BouncyPlatform,-2,11,4,-,-,-,-,-
8,BouncyPlatform,1,12,5,-,-,-,-,-
9,BouncyPlatform,2,13,5,-,-,-,-,-
10,BouncyPlatform,-1,15,4,-,-,-,-,-
11,BouncyPlatform,0,19,3,-,-,-,-,-
12,BouncyPlatform,2,19,3,-,-,-,-,-
13,BouncyPlatform,-2,21,3,-,-,-,-,-
14,BouncyPlatform,1,23,4,-,-,-,-,-
15,BouncyPlatform,3,24,4,-,-,-,-,-
16,BouncyPlatform,2,28,3,-,-,-,-,-
17,BouncyPlatform,0,31,5,-,-,-,-,-
18,BouncyPlatform,3,31,4,-,-,-,-,-
19,BouncyPlatform,-1,34,3,-,-,-,-,-
20,BouncyPlatform,2,34,3,-,-,-,-,-
21,BouncyPlatform,-2,37,4,-,-,-,-,-
22,BouncyPlatform,3,37,3,-,-,-,-,-
23,BouncyPlatform,2,40,3,-,-,-,-,-
24,BouncyPlatform,3,42,4,-,-,-,-,-
25,BouncyPlatform,-2,44,3,-,-,-,-,-
26,BouncyPlatform,0,45,4,-,-,-,-,-
27,BouncyPlatform,2,47,4,-,-,-,-,-
28,BouncyPlatform,1,49,5,-,-,-,-,-
29,BouncyPlatform,0,53,5,-,-,-,-,-
30,BouncyPlatform,-2,55,3,-,-,-,-,-
31,BouncyPlatform,-1,58,5,-,-,-,-,-
32,BouncyPlatform,1,60,4,-,-,-,-,-
33,BouncyPlatform,2,64,4,-,-,-,-,-
34,BouncyPlatform,-1,67,3,-,-,-,-,-
35,BouncyPlatform,3,67,3,-,-,-,-,-
36,BouncyPlatform,-2,72,3,-,-,-,-,-
37,BouncyPlatform,3,76,4,-,-,-,-,-
38,BouncyPlatform,-2,82,4,-,-,-,-,-
39,BouncyPlatform,0,84,4,-,-,-,-,-
40,BouncyPlatform,-1,88,3,-,-,-,-,-
41,BouncyPlatform,0,93,3,-,-,-,-,-
42,BouncyPlatform,-2,97,4,-,-,-,-,-
43,BouncyPlatform,-1,100,4,-,-,-,-,-
44,BouncyPlatform,0,102,3,-,-,-,-,-
45,BouncyPlatform,2,103,4,-,-,-,-,-
46,BouncyPlatform,-1,105,3,-,-,-,-,-
