No,Type,X,Y,Value1,Value2,Value3,Value4,Value5,Value6
1,GoalInPlatform,0,118,,,,,,
2,BouncyPlatform,2,115,4,-,-,-,-,-
3,BouncyPlatform,1,114,3,-,-,-,-,-
4,BouncyPlatform,2,113,3,-,-,-,-,-
5,BouncyPlatform,3,112,4,-,-,-,-,-
6,BouncyPlatform,3,108,4,-,-,-,-,-
7,BouncyPlatform,-1,105,4,-,-,-,-,-
8,BouncyPlatform,2,105,5,-,-,-,-,-
9,BouncyPlatform,1,104,4,-,-,-,-,-
10,BouncyPlatform,3,102,4,-,-,-,-,-
11,BouncyPlatform,1,100,3,-,-,-,-,-
12,BouncyPlatform,-1,98,4,-,-,-,-,-
13,BouncyPlatform,-2,96,4,-,-,-,-,-
14,BouncyPlatform,1,95,4,-,-,-,-,-
15,BouncyPlatform,-1,93,3,-,-,-,-,-
16,BouncyPlatform,-2,91,4,-,-,-,-,-
17,BouncyPlatform,3,90,4,-,-,-,-,-
18,BouncyPlatform,-1,87,3,-,-,-,-,-
19,BouncyPlatform,2,87,4,-,-,-,-,-
20,BouncyPlatform,0,85,4,-,-,-,-,-
21,BouncyPlatform,3,84,4,-,-,-,-,-
22,BouncyPlatform,1,81,4,-,-,-,-,-
23,BouncyPlatform,-1,81,4,-,-,-,-,-
24,BouncyPlatform,2,80,5,-,-,-,-,-
25,BouncyPlatform,3,77,4,-,-,-,-,-
26,BouncyPlatform,2,74,4,-,-,-,-,-
27,BouncyPlatform,-1,73,4,-,-,-,-,-
28,BouncyPlatform,0,72,5,-,-,-,-,-
29,BouncyPlatform,-2,71,3,-,-,-,-,-
30,BouncyPlatform,3,70,5,-,-,-,-,-
31,BouncyPlatform,-1,69,3,-,-,-,-,-
32,BouncyPlatform,2,67,4,-,-,-,-,-
33,BouncyPlatform,0,67,4,-,-,-,-,-
34,BouncyPlatform,3,63,5,-,-,-,-,-
35,BouncyPlatform,2,61,4,-,-,-,-,-
36,BouncyPlatform,-2,58,5,-,-,-,-,-
37,BouncyPlatform,3,57,3,-,-,-,-,-
38,BouncyPlatform,2,55,4,-,-,-,-,-
39,BouncyPlatform,3,51,4,-,-,-,-,-
40,BouncyPlatform,-2,50,5,-,-,-,-,-
41,BouncyPlatform,-2,45,3,-,-,-,-,-
42,BouncyPlatform,3,44,5,-,-,-,-,-
43,BouncyPlatform,2,42,4,-,-,-,-,-
44,BouncyPlatform,-1,42,4,-,-,-,-,-
45,BouncyPlatform,-2,40,4,-,-,-,-,-
46,BouncyPlatform,3,39,4,-,-,-,-,-
47,BouncyPlatform,2,35,4,-,-,-,-,-
48,BouncyPlatform,-1,35,4,-,-,-,-,-
49,BouncyPlatform,3,33,3,-,-,-,-,-
50,BouncyPlatform,-2,32,4,-,-,-,-,-
51,BouncyPlatform,2,30,3,-,-,-,-,-
52,BouncyPlatform,-1,30,4,-,-,-,-,-
53,BouncyPlatform,1,29,5,-,-,-,-,-
54,BouncyPlatform,0,28,4,-,-,-,-,-
55,BouncyPlatform,-2,26,4,-,-,-,-,-
56,BouncyPlatform,3,26,4,-,-,-,-,-
57,BouncyPlatform,-1,23,3,-,-,-,-,-
58,BouncyPlatform,1,21,3,-,-,-,-,-
59,BouncyPlatform,-2,21,4,-,-,-,-,-
60,BouncyPlatform,2,20,4,-,-,-,-,-
61,BouncyPlatform,-1,18,3,-,-,-,-,-
62,BouncyPlatform,3,17,4,-,-,-,-,-
63,BouncyPlatform,0,17,4,-,-,-,-,-
64,BouncyPlatform,1,15,4,-,-,-,-,-
65,BouncyPlatform,-2,15,3,-,-,-,-,-
